id,text_hindi,text_hinglish,label,category,sub_category,threat_level,keywords_matched,source_type
1,"आपका मोबाइल नंबर मनी लॉन्ड्रिंग में इस्तेमाल हुआ है। आप अभी डिजिटल अरेस्ट में हैं। कहीं मत जाइए।","Aapka mobile number money laundering mein use hua hai. Aap abhi digital arrest mein hain. Kahin mat jaiye.",1,digital_arrest,authority_impersonation,high,"digital arrest,money laundering,mobile number",voice_call
2,"मैं CBI अधिकारी विक्रम सिंह बोल रहा हूं। आपके आधार कार्ड से अवैध लेनदेन हुआ है।","Main CBI adhikari Vikram Singh bol raha hoon. Aapke Aadhaar card se avaidh leinden hua hai.",1,digital_arrest,cbi_impersonation,high,"CBI,Aadhaar,illegal transaction",voice_call
3,"आपका WhatsApp पर एक सरकारी संदेश आया है - आप ED जांच में हैं। तुरंत वीडियो कॉल पर आएं।","Aapka WhatsApp par ek sarkari sandesh aaya hai - aap ED jaanch mein hain. Turant video call par aayen.",1,digital_arrest,ed_impersonation,high,"ED,government,video call,WhatsApp",whatsapp_msg
4,"नमस्ते! क्या आप आज दोपहर खाली हैं? कॉफी पर मिलते हैं।","Namaste! Kya aap aaj dopahar khaali hain? Coffee par milte hain.",0,legitimate,casual_conversation,none,"",sms
5,"आपकी पार्सल में ड्रग्स पाई गई हैं। मुंबई कस्टम विभाग। आप पर FIR दर्ज होगी जब तक ₹50,000 जमा नहीं होते।","Aapki parcel mein drugs payi gayi hain. Mumbai customs vibhag. Aap par FIR darj hogi jab tak 50000 rupees jama nahi hote.",1,digital_arrest,customs_impersonation,critical,"drugs,customs,FIR,fine,parcel",sms
6,"आपके बेटे/बेटी को हमने गिरफ्तार किया है। TRAI के नियम उल्लंघन में। ₹1,00,000 जमा करें वरना जेल होगी।","Aapke bete/beti ko humne giraftaar kiya hai. TRAI ke niyam ullanghan mein. 1 lakh rupees jama karen warna jail hogi.",1,digital_arrest,trai_impersonation,critical,"TRAI,arrested,family,jail,fine",voice_call
7,"प्रिय ग्राहक, आपका बैंक खाता 24 घंटे में बंद होगा। KYC अपडेट करें: [link]","Priya grahak, aapka bank khata 24 ghante mein band hoga. KYC update kare: [link]",1,phishing,bank_impersonation,high,"bank account,KYC,link,24 hours",sms
8,"आपके आधार से जुड़ा सिम कार्ड अवैध गतिविधियों में प्रयोग हो रहा है। यह CBI का नोटिस है। वीडियो कॉल पर आएं।","Aapke Aadhaar se juda sim card avaidh gatividhiyon mein prayog ho raha hai. Yeh CBI ka notice hai. Video call par aayen.",1,digital_arrest,sim_fraud,critical,"SIM card,CBI,notice,video call,Aadhaar",voice_call
9,"हमारी दुकान पर सेल चल रही है। 50% छूट सभी उत्पादों पर। आज ही आएं!","Hamari dukan par sale chal rahi hai. 50% choot sabhi utpadon par. Aaj hi aayen!",0,legitimate,advertisement,none,"",sms
10,"Supreme Court का आदेश है। आपके खिलाफ मनी लॉन्ड्रिंग का केस दर्ज है। अभी ₹2,00,000 जमा करें।","Supreme Court ka aadesh hai. Aapke khilaf money laundering ka case darj hai. Abhi 2 lakh rupees jama karen.",1,digital_arrest,court_impersonation,critical,"Supreme Court,money laundering,fine,case",voice_call
11,"आपकी बेटी दिल्ली में गिरफ्तार है। CBI हिरासत में। ₹5 लाख जमा करें, नहीं तो 10 साल जेल।","Aapki beti Delhi mein giraftaar hai. CBI hirasat mein. 5 lakh jama karen, nahi to 10 saal jail.",1,digital_arrest,family_threat,critical,"daughter,arrested,CBI,jail,ransom",voice_call
12,"क्या आप जानते हैं? भारत में 5G नेटवर्क की शुरुआत हो गई है। जानकारी के लिए यहाँ क्लिक करें।","Kya aap jaante hain? Bharat mein 5G network ki shuruaat ho gayi hai. Jaankari ke liye yahan click karen.",0,legitimate,information,none,"",sms
13,"आप Skype पर आएं। आपके खिलाफ NARCOTICS BUREAU की जांच चल रही है। गिरफ्तारी वारंट जारी हो चुका है।","Aap Skype par aayen. Aapke khilaf NARCOTICS BUREAU ki jaanch chal rahi hai. Giraftaari warrant jaari ho chuka hai.",1,digital_arrest,narcotics_impersonation,critical,"Skype,narcotics,warrant,arrest",video_call
14,"आपका PAN कार्ड टैक्स चोरी में इस्तेमाल हुआ है। Income Tax Department। अभी वीडियो कॉल करें।","Aapka PAN card tax chori mein istemal hua hai. Income Tax Department. Abhi video call karen.",1,digital_arrest,tax_fraud,high,"PAN card,tax evasion,Income Tax,video call",voice_call
15,"बिजली बिल जमा करने की अंतिम तारीख कल है। ऑनलाइन या नजदीकी केंद्र पर जमा करें।","Bijli bill jama karne ki antim tarikh kal hai. Online ya najdiki kendra par jama karen.",0,legitimate,utility_reminder,none,"",sms
